PLAYER NAME,TEAM,ROLE,MATCHES,NOT OUTs,RUNS,HIGHEST RUN,BATTING AVG,BALLS FACED,BATTING S.R,100s,50s,4s,6s,CATCHES,BALLS BOWLED,RUNS CONCEEDED,WICKETS,BEST BOWLING,BOWLING AVG,ECONOMY,BOWLING S.R
Bipul Sharma,hyderabad,Batsman,33,9,187,35*,23.37,123,152.03,0,0,11,9,7,426,572,17,2/13,33.64,8.05,25.05
Ravi Bopara,hyderabad,Batsman,24,4,531,84,29.5,453,117.21,0,3,39,16,7,206,292,11,3/31,26.54,8.5,18.72
Ashish Reddy,hyderabad,Bowler,31,9,280,36*,18.66,193,145.07,0,0,16,15,9,244,364,17,3/25,21.41,8.95,14.35
Hanuma Vihari,hyderabad,Bowler,24,3,284,46,14.2,321,88.47,0,0,23,1,6,42,47,1,1/5,47,6.71,42
Dale Steyn,hyderabad,Bowler,95,15,167,19*,7.59,160,104.37,0,0,14,3,24,2176,2508,97,3/8,25.85,6.91,22.43
Praveen Kumar,hyderabad,Bowler,119,21,344,34,9.05,315,109.2,0,0,23,17,12,2524,3251,90,3/18,36.12,7.72,28.04
Venugopal Rao,hyderabad,Batsman,65,10,985,71*,22.38,836,117.82,0,3,77,37,14,216,337,6,2/23,56.16,9.36,36
Irfan Pathan,hyderabad,Batsman,103,29,1139,60,21.49,946,120.4,0,1,87,37,31,2043,2649,80,3/24,33.11,7.77,25.53
Cameron White,hyderabad,Batsman,47,9,954,78,26.5,755,126.35,0,6,76,36,22,42,86,1,1/14,86,12.28,42
Biplap Samantray,hyderabad,Batsman,9,3,125,55,25,113,110.61,0,1,13,2,3,0,0,0,0/0,-,-,-
Kumar Sangakkara,hyderabad,Batsman,71,3,1687,94,25.95,1392,121.19,0,10,195,27,45,0,0,0,0/0,-,-,-
Akshath Reddy,hyderabad,Bowler,12,0,164,42,16.4,160,102.5,0,0,15,2,2,18,32,1,1/1,32,10.66,18
Nitish Rana,kolkata,Batsman,67,4,1638,87,28.24,1224,133.82,0,13,148,81,13,103,142,7,2/11,20.28,8.27,14.71
Rahul Tripathi,kolkata,Batsman,52,5,1175,93,25.54,871,134.9,0,6,116,41,19,6,12,0,0/0,-,12,-
Andre Russell,kolkata,Batsman,81,11,1680,88*,29.47,937,179.29,0,9,117,142,24,1207,1827,68,5/15,26.86,9.08,17.75
Shubman Gill,kolkata,Batsman,48,10,1071,76,30.6,862,124.24,0,7,101,29,19,0,0,0,0/0,-,-,-
Dinesh Karthik,kolkata,Batsman,203,33,3946,97*,26.13,3038,129.88,0,19,390,109,121,0,0,0,0/0,-,-,-
Pat Cummins,kolkata,Bowler,37,10,316,66*,19.75,225,140.44,0,2,19,20,7,834,1145,38,4/1,30.13,8.23,21.94
Eoin Morgan,kolkata,Batsman,73,10,1364,68*,24.35,1089,125.25,0,5,111,62,33,0,0,0,0/0,-,-,-
Shakib Al Hasan,kolkata,Batsman,66,11,784,66*,20.63,628,124.84,0,2,72,21,12,1388,1733,61,3/17,28.4,7.49,22.75
Sunil Narine,kolkata,Bowler,124,13,902,75,15.82,558,161.64,0,4,105,52,20,2882,3259,130,5/19,25.06,6.78,22.16
Shivam Mavi,kolkata,Bowler,20,2,28,9,4.66,36,77.77,0,0,3,0,8,378,539,16,2/15,33.68,8.55,23.62
Harbhajan Singh,kolkata,Bowler,163,37,833,64,15.71,604,137.91,0,1,79,42,49,3416,4030,150,5/18,26.86,7.07,22.77
Lockie Ferguson,kolkata,Bowler,14,3,44,24*,0,30,146.66,0,0,4,1,0,299,424,11,3/15,38.54,8.5,27.18
Kamlesh Nagarkoti,kolkata,Bowler,11,3,22,8*,5.5,33,66.66,0,0,1,0,4,168,256,5,2/13,51.2,9.14,33.6
Tom Banton,kolkata,Bowler,2,0,18,10,9,20,90,0,0,1,1,0,0,0,0,0/0,-,-,-
Kuldeep Yadav,kolkata,Bowler,45,5,57,16,9.5,75,76,0,0,5,0,11,896,1236,40,4/20,30.9,8.27,22.4
Rinku Singh,kolkata,Bowler,11,1,77,30,11,76,101.31,0,0,6,2,6,0,0,0,0/0,-,-,-
Piyush Chawla,kolkata,Bowler,164,32,584,24*,11.91,524,111.45,0,0,54,18,40,3250,4263,156,4/17,27.32,7.87,20.83
Carlos Brathwaite,kolkata,Bowler,16,1,181,43*,13.92,111,163.06,0,0,10,16,5,254,375,13,3/1,28.84,8.85,19.53
Mitchell Johnson,kolkata,Bowler,54,17,167,16*,12.84,164,101.82,0,0,10,7,15,1232,1702,61,3/26,27.9,8.28,20.19
Sheldon Jackson,kolkata,Bowler,4,1,38,16,19,31,122.58,0,0,5,0,2,0,0,0,0/0,-,-,-
Ishank Jaggi,kolkata,Bowler,7,2,76,28,15.2,97,78.35,0,0,6,0,2,0,0,0,0/0,-,-,-
Ryan ten Doeschate,kolkata,Batsman,29,8,326,70*,23.28,235,138.72,0,1,26,15,8,78,94,2,1/7,47,7.23,39
Johan Botha,kolkata,Batsman,34,8,409,67*,20.45,359,113.92,0,1,39,5,18,694,800,25,3/6,32,6.91,27.76
RobinUthappa,kolkata,Batsman,189,17,4607,87,27.92,3544,129.99,0,24,454,163,87,0,0,0,0/0,-,-,-
Jacques Kallis,kolkata,Batsman,98,11,2427,89*,28.55,2222,109.22,0,17,255,44,31,1742,2293,65,3/13,35.27,7.89,26.8
Debabrata Das,kolkata,Batsman,31,8,304,35*,21.71,261,116.47,0,0,23,16,7,0,0,0,0/0,-,-,-
Brett Lee,kolkata,Bowler,38,9,124,25,12.4,97,127.83,0,0,8,8,10,875,1095,25,3/15,43.8,7.5,35
Ajit Agarkar,kolkata,Bowler,42,12,179,39,17.9,154,116.23,0,0,13,5,5,782,1151,29,3/25,39.68,8.83,26.96
Murali Kartik,kolkata,Bowler,56,9,113,21,16.14,108,104.62,0,0,7,1,20,1149,1388,31,3/17,44.77,7.24,37.06
Yashpal Singh,kolkata,Bowler,8,0,47,20,11.75,66,71.21,0,0,5,0,3,0,0,0,0/0,-,-,-
Aakash Chopra,kolkata,Bowler,7,0,53,24,8.83,71,74.64,0,0,7,0,2,0,0,0,0/0,-,-,-
Umar Gul,kolkata,Bowler,6,1,39,24,13,19,205.26,0,0,1,5,0,135,184,12,4/23,15.33,8.17,11.25
Salman Butt,kolkata,Batsman,7,0,193,73,27.57,161,119.87,0,1,30,2,2,0,0,0,0/0,-,-,-
Mohammad Hafeez,kolkata,Bowler,8,1,20,13,10,22,90.9,0,0,2,1,1,30,24,1,1/8,24,4.8,30
Rohit Sharma,mumbai,Batsman,207,28,5480,109*,31.49,4199,130.5,1,40,476,224,89,338,449,15,4/6,29.93,7.97,22.53
Suryakumar Yadav,mumbai,Batsman,108,19,2197,79*,29.68,1624,135.28,0,12,243,63,54,6,8,0,0/0,-,8,-
Kieron Pollard,mumbai,Batsman,171,50,3191,87*,30.68,2115,150.87,0,16,207,211,92,1368,2014,63,4/1,31.96,8.83,21.71
Quinton de Kock,mumbai,Batsman,72,5,2114,108,31.55,1599,132.2,1,15,216,79,51,0,0,0,0/0,-,-,-
Krunal Pandya,mumbai,Batsman,78,21,1100,86,23.91,778,141.38,0,1,103,44,26,1347,1636,49,3/14,33.38,7.28,27.48
Ishan Kishan,mumbai,Batsman,56,4,1284,99,27.31,973,131.96,0,7,103,66,16,0,0,0,0/0,-,-,-
Hardik Pandya,mumbai,Batsman,87,29,1401,91,27.47,891,157.23,0,4,91,95,50,869,1313,42,3/20,31.26,9.06,20.69
Chris Lynn,mumbai,Batsman,42,3,1329,93*,34.07,945,140.63,0,10,132,66,12,0,0,0,0/0,-,-,-
Jayant Yadav,mumbai,Bowler,17,1,29,23,9.66,32,90.62,0,0,1,0,5,330,371,7,1/8,53,6.74,47.14
Rahul Chahar,mumbai,Bowler,38,4,31,10,6.2,30,103.33,0,0,3,0,10,810,1001,41,4/27,24.41,7.41,19.75
Jasprit Bumrah,mumbai,Bowler,99,13,44,16*,11,47,93.61,0,0,2,1,11,2254,2777,115,4/14,24.14,7.39,19.6
Saurabh Tiwary,mumbai,Batsman,88,19,1379,61,27.58,1147,120.22,0,7,101,48,24,0,0,0,0/0,-,-,-
Nathan Coulter-Nile,mumbai,Bowler,34,5,77,24*,7.7,65,118.46,0,0,7,4,10,743,960,41,4/20,23.41,7.75,18.12
James Pattinson,mumbai,Bowler,10,1,15,11,15,13,115.38,0,0,2,0,2,213,320,11,2/19,29.09,9.01,19.36
Yuvraj Singh,mumbai,Batsman,132,15,2750,83,24.77,2120,129.71,0,13,217,149,34,869,1077,36,4/29,29.91,7.43,24.13
Evin Lewis,mumbai,Batsman,16,0,430,65,26.87,328,131.09,0,2,36,26,6,0,0,0,0/0,-,-,-
Ben Cutting,mumbai,Batsman,21,6,238,39*,21.63,141,168.79,0,0,15,19,10,281,429,10,2/20,42.9,9.16,28.1
Alzarri Joseph,mumbai,Bowler,3,2,15,15*,0,13,115.38,0,0,2,0,1,52,87,6,6/12,14.5,10.03,8.66
Siddhesh Lad,mumbai,Bowler,1,0,15,15,15,13,115.38,0,0,1,1,0,0,0,0,0/0,-,-,-
Mitchell McClenaghan,mumbai,Bowler,56,11,85,20,6.53,70,121.42,0,0,5,7,1,1274,1803,71,4/21,25.39,8.49,17.94
JP Duminy,mumbai,Batsman,83,26,2029,78*,39.78,1636,124.02,0,14,126,79,30,678,834,23,4/17,36.26,7.38,29.47
Mayank Markande,mumbai,Bowler,17,5,27,7*,9,29,93.1,0,0,3,0,3,300,427,16,4/23,26.68,8.54,18.75
Lendl Simmons,mumbai,Batsman,29,2,1079,100*,39.96,852,126.64,1,11,109,44,10,18,34,1,1/1,34,11.33,18
Karn Sharma,mumbai,Bowler,67,14,316,39*,15.8,271,116.6,0,0,18,14,14,1222,1610,59,4/16,27.28,7.9,20.71
Unmukt Chand,mumbai,Bowler,21,0,300,58,15,300,100,0,1,32,9,8,0,0,0,0/0,-,-,-
Chidhambaram Gautam,mumbai,Bowler,13,3,169,33,16.9,150,112.66,0,0,17,6,3,0,0,0,0/0,-,-,-
Ben Dunk,mumbai,Bowler,3,0,40,20,13.33,35,114.28,0,0,7,0,3,0,0,0,0/0,-,-,-
Zaheer Khan,mumbai,Bowler,100,18,117,23*,8.35,141,82.97,0,0,11,2,22,2200,2782,102,4/17,27.27,7.58,21.56
Sachin Tendulkar,mumbai,Batsman,78,11,2334,100*,34.83,1948,119.81,1,13,295,29,23,36,58,0,0/0,-,9.66,-
Ricky Ponting,mumbai,Bowler,10,0,91,28,10.11,128,71.09,0,0,5,2,4,0,0,0,0/0,-,-,-
James Franklin,mumbai,Batsman,20,5,327,79,29.72,301,108.63,0,1,25,8,6,151,220,9,2/18,24.44,8.74,16.77
Richard Levi,mumbai,Bowler,6,0,83,50,13.83,73,113.69,0,1,10,4,2,0,0,0,0/0,-,-,-
Herschelle Gibbs,mumbai,Batsman,36,4,886,69*,27.68,807,109.78,0,6,83,31,22,0,0,0,0/0,-,-,-
Lasith Malinga,mumbai,Bowler,122,9,88,17,5.5,99,88.88,0,0,6,5,21,2827,3366,170,5/13,19.8,7.14,16.62
Robin Peterson,mumbai,Bowler,5,2,32,16*,10.66,30,106.66,0,0,3,1,1,48,70,3,3/1,23.33,8.75,16
Andrew Symonds,mumbai,Batsman,39,9,974,117*,36.07,750,129.86,1,5,74,41,21,527,674,20,3/21,33.7,7.67,26.35
Aiden Blizzard,mumbai,Bowler,7,0,120,51,17.14,90,133.33,0,1,21,2,4,0,0,0,0/0,-,-,-
Davy Jacobs,mumbai,Bowler,7,0,92,32,13.14,98,93.87,0,0,10,4,3,0,0,0,0/0,-,-,-
SachinTendulkar,mumbai,Batsman,78,11,2334,100*,34.83,1948,119.81,1,13,295,29,23,36,58,0,0/0,-,9.66,-
Sanath Jayasuriya,mumbai,Batsman,30,2,772,114*,27.57,532,145.11,1,4,85,39,4,294,390,13,3/14,30,7.95,22.61
Pinal Shah,mumbai,Bowler,16,2,92,29,11.5,91,101.09,0,0,9,2,10,0,0,0,0/0,-,-,-
Graham Napier,mumbai,Bowler,1,0,15,15,15,16,93.75,0,0,1,0,0,24,27,1,1/27,27,6.75,24
