PLAYER NAME,TEAM,ROLE,MATCHES,NOT OUTs,RUNS,HIGHEST RUN,BATTING AVG,BALLS FACED,BATTING S.R,100s,50s,4s,6s,CATCHES,BALLS BOWLED,RUNS CONCEEDED,WICKETS,BEST BOWLING,BOWLING AVG,ECONOMY,BOWLING S.R
Rahul Tewatia,rajasthan,Batsman,41,11,452,53,26.58,339,133.33,0,1,30,24,19,692,875,26,3/18,33.65,7.58,26.61
Riyan Parag,rajasthan,Batsman,26,3,324,50,20.25,257,126.07,0,1,29,12,12,126,201,3,1/7,67,9.57,42
Yashasvi Jaiswal,rajasthan,Bowler,6,0,106,34,17.66,94,112.76,0,0,11,4,2,0,0,0,0/0,-,-,-
Chris Morris,rajasthan,Batsman,77,23,599,82*,23.96,380,157.63,0,2,39,35,38,1630,2143,94,4/23,22.79,7.88,17.34
Manan Vohra,rajasthan,Batsman,53,2,1054,95,22.42,807,130.6,0,3,102,41,13,0,0,0,0/0,-,-,-
Jaydev Unadkat,rajasthan,Bowler,84,12,99,26,12.37,91,108.79,0,0,8,3,25,1740,2533,85,5/25,29.8,8.73,20.47
Shreyas Gopal,rajasthan,Bowler,47,7,171,24,13.15,161,106.21,0,0,17,2,11,925,1239,48,4/16,25.81,8.03,19.27
Ben Stokes,rajasthan,Batsman,43,6,920,107*,25.55,684,134.5,2,2,79,32,21,683,974,28,3/15,34.78,8.55,24.39
Robin Uthappa,rajasthan,Batsman,189,17,4607,87,27.92,3544,129.99,0,24,454,163,87,0,0,0,0/0,-,-,-
Jofra Archer,rajasthan,Bowler,35,10,195,27*,15,124,157.25,0,0,11,14,9,825,981,46,3/15,21.32,7.13,17.93
Mahipal Lomror,rajasthan,Bowler,7,1,87,47,17.4,78,111.53,0,0,5,3,1,18,27,0,0/0,-,9,-
Liam Livingstone,rajasthan,Batsman,4,1,71,44,23.66,48,147.91,0,0,6,5,4,6,13,0,0/0,-,13,-
Stuart Binny,rajasthan,Bowler,95,23,880,48*,19.55,683,128.84,0,0,66,35,19,594,758,22,2/14,34.45,7.65,27
D'Arcy Short,rajasthan,Bowler,7,0,115,44,16.42,99,116.16,0,0,11,5,2,18,19,1,1/10,19,6.33,18
Heinrich Klaasen,rajasthan,Bowler,7,1,66,32,13.2,57,115.78,0,0,5,1,3,0,0,0,0/0,-,-,-
Brad Hodge,rajasthan,Batsman,66,21,1400,73,33.33,1118,125.22,0,6,122,43,22,234,303,17,4/13,17.82,7.76,13.76
Abhishek Nayar,rajasthan,Bowler,60,12,672,45*,17.68,577,116.46,0,0,55,20,13,229,322,9,3/13,35.77,8.43,25.44
Kevon Cooper,rajasthan,Bowler,25,5,116,32,12.88,68,170.58,0,0,9,8,12,576,757,33,4/26,22.93,7.88,17.45
Dhawal Kulkarni,rajasthan,Bowler,92,15,100,28*,11.11,107,93.45,0,0,6,2,22,1787,2474,86,4/14,28.76,8.3,20.77
Rahul Dravid,rajasthan,Batsman,89,5,2174,75*,28.23,1882,115.51,0,11,269,28,18,0,0,0,0/0,-,-,-
Dishant Yagnik,rajasthan,Bowler,25,7,170,34,17,137,124.08,0,0,23,2,12,0,0,0,0/0,-,-,-
Owais Shah,rajasthan,Batsman,23,7,506,76,33.73,389,130.07,0,4,34,23,7,0,0,0,0/0,-,-,-
Ashok Menaria,rajasthan,Bowler,29,2,401,40,19.09,356,112.64,0,0,24,18,5,110,144,3,2/20,48,7.85,36.66
Abhishek Raut,rajasthan,Batsman,22,7,194,36*,21.55,167,116.16,0,0,13,7,10,42,57,0,0/0,-,8.14,-
Amit Paunikar,rajasthan,Bowler,5,0,49,20,9.8,58,84.48,0,0,9,0,1,0,0,0,0/0,-,-,-
Michael Lumb,rajasthan,Batsman,12,0,278,83,23.16,194,143.29,0,1,45,6,5,0,0,0,0/0,-,-,-
Abhishek Jhunjhunwala,rajasthan,Bowler,21,3,217,53*,16.69,210,103.33,0,1,19,5,10,85,129,1,1/13,129,9.1,85
Adam Voges,rajasthan,Batsman,9,3,181,45*,45.25,143,126.57,0,0,15,3,1,54,76,0,0/0,-,8.44,-
Faiz Fazal,rajasthan,Bowler,12,1,183,45,18.3,173,105.78,0,0,22,1,6,12,20,0,0/0,-,10,-
Paras Dogra,rajasthan,Bowler,13,1,127,41,11.54,138,92.02,0,0,4,5,4,0,0,0,0/0,-,-,-
Aditya Dole,rajasthan,Bowler,3,0,34,30,17,22,154.54,0,0,3,1,2,66,112,5,2/1,22.4,10.18,13.2
Shane Warne,rajasthan,Bowler,55,9,198,34*,9.9,214,92.52,0,0,14,6,16,1194,1447,57,4/21,25.38,7.27,20.94
Rob Quiney,rajasthan,Bowler,7,0,103,51,14.71,102,100.98,0,1,12,3,1,0,0,0,0/0,-,-,-
Swapnil Asnodkar,rajasthan,Batsman,20,0,423,60,21.15,339,124.77,0,2,56,10,7,0,0,0,0/0,-,-,-
Lee Carseldine,rajasthan,Batsman,5,1,81,39,20.25,68,119.11,0,0,11,0,4,6,6,1,1/6,6,6,6
Dimitri Mascarenhas,rajasthan,Bowler,13,2,79,27,8.77,78,101.28,0,0,5,1,3,308,356,19,5/25,18.73,6.93,16.21
Munaf Patel,rajasthan,Bowler,63,9,39,23*,6.5,41,95.12,0,0,5,0,14,1355,1698,74,5/21,22.94,7.51,18.31
Niraj Patel,rajasthan,Batsman,9,2,121,57,30.25,119,101.68,0,1,14,1,6,0,0,0,0/0,-,-,-
Mahesh Rawat,rajasthan,Bowler,18,7,55,23*,11,69,79.71,0,0,4,1,16,0,0,0,0/0,-,-,-
Tyron Henderson,rajasthan,Bowler,2,0,11,11,5.5,16,68.75,0,0,0,1,0,36,40,1,1/30,40,6.66,36
Kamran Akmal,rajasthan,Batsman,6,1,128,53*,25.6,78,164.1,0,1,13,8,5,0,0,0,0/0,-,-,-
Taruwar Kohli,rajasthan,Bowler,4,1,11,7,3.66,19,57.89,0,0,0,1,1,0,0,0,0/0,-,-,-
Sohail Tanvir,rajasthan,Bowler,11,2,36,13,12,29,124.13,0,0,3,1,4,247,266,22,6/14,12.09,6.46,11.22
